SiPM,CN,pin,TOFPET,CHANNEL
1,3,9,0,63
2,3,41,1,63
3,4,9,0,62
4,4,41,1,62
5,3,10,0,61
6,3,42,1,61
7,4,10,0,60
8,4,42,1,60
9,3,13,0,55
10,3,45,1,55
11,4,13,0,54
12,4,45,1,54
13,3,14,0,53
14,3,46,1,53
15,4,14,0,52
16,4,46,1,52
17,3,17,0,47
18,3,49,1,47
19,4,17,0,46
20,4,49,1,46
21,3,18,0,45
22,3,50,1,45
23,4,18,0,44
24,4,50,1,44
25,3,21,0,39
26,3,53,1,39
27,4,21,0,38
28,4,53,1,38
29,3,22,0,37
30,3,54,1,37
31,4,22,0,36
32,4,54,1,36
33,3,25,0,31
34,3,57,1,31
35,4,25,0,30
36,4,57,1,30
37,3,26,0,29
38,3,58,1,29
39,4,26,0,28
40,4,58,1,28
41,3,29,0,23
42,3,61,1,23
43,4,29,0,22
44,4,61,1,22
45,3,30,0,21
46,3,62,1,21
47,4,30,0,20
48,4,62,1,20
49,3,33,0,15
50,3,65,1,15
51,4,33,0,14
52,4,65,1,14
53,3,34,0,13
54,3,66,1,13
55,4,34,0,12
56,4,66,1,12
57,3,37,0,7
58,3,69,1,7
59,4,37,0,6
60,4,69,1,6
