SiPM,CN,pin,TOFPET,CHANNEL
1,3,10,0,61
2,3,12,0,57
3,3,14,0,53
4,3,16,0,49
5,3,18,0,45
6,3,20,0,41
7,3,22,0,37
8,3,24,0,33
9,3,26,0,29
10,3,28,0,25
11,3,30,0,21
12,3,32,0,17
13,3,34,0,13
14,3,36,0,9
15,3,38,0,5
16,3,40,0,1
17,3,42,1,61
18,3,44,1,57
19,3,46,1,53
20,3,48,1,49
21,3,50,1,45
22,3,52,1,41
23,3,54,1,37
24,3,56,1,33
25,3,58,1,29
26,3,60,1,25
27,3,62,1,21
28,3,64,1,17
29,4,9,0,62
30,4,11,0,58
31,4,13,0,54
32,4,15,0,50
33,4,17,0,46
34,4,19,0,42
35,4,21,0,38
36,4,23,0,34
37,4,25,0,30
38,4,27,0,26
39,4,29,0,22
40,4,31,0,18
41,4,33,0,14
42,4,35,0,10
43,4,37,0,6
44,4,39,0,2
45,4,41,1,62
46,4,43,1,58
47,4,45,1,54
48,4,47,1,50
49,4,49,1,46
50,4,51,1,42
51,4,53,1,38
52,4,55,1,34
53,4,57,1,30
54,4,59,1,26
55,4,61,1,22
56,4,63,1,18
